Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
21.38,12.04,0.3563333333333333,0.3563333333333333,257.4152,79.64366666666666,13410.533208606172,tn1,85.0,80.0,[13408.36661536]
21.87,12.03,0.3645,0.7208333333333333,263.0961,79.27916666666667,13050.068587105625,tn1,85.0,80.0,[13120.37703823]
21.89,12.02,0.3648333333333333,1.0856666666666666,263.1178,78.91433333333333,12978.145271813612,tn1,85.0,80.0,[12954.75228809]
21.87,12.02,0.3645,1.4501666666666666,262.8774,78.54983333333334,12930.013717421123,tn1,85.0,80.0,[13045.7050707]
18.29,12.09,0.3048333333333333,1.755,221.1261,78.245,15400.87479496993,tn1,85.0,80.0,[15403.56341153]
18.28,12.09,0.3046666666666667,2.0596666666666668,221.0052,77.94033333333333,15349.299781181617,tn1,85.0,80.0,[15369.07108762]
18.28,12.08,0.3046666666666667,2.3643333333333336,220.8224,77.63566666666667,15289.29978118162,tn1,85.0,80.0,[15307.19575092]
18.27,12.08,0.3045,2.6688333333333336,220.7016,77.33116666666666,15237.668308702789,tn1,85.0,80.0,[15251.10381716]
24.29,11.96,0.4048333333333333,3.073666666666667,290.5084,76.92633333333333,11401.185673116508,tn1,85.0,80.0,[11762.43314375]
22.71,11.99,0.3785,3.452166666666667,272.29290000000003,76.54783333333333,12134.39894319683,tn1,85.0,80.0,[12143.45676824]
22.7,11.98,0.3783333333333333,3.8305,271.946,76.1695,12079.74449339207,tn1,85.0,80.0,[12022.2519913]
18.57,12.04,0.3095,4.140000000000001,223.5828,75.86,14706.300484652666,tn1,85.0,80.0,[14514.75464636]
18.15,12.06,0.3025,4.442500000000001,218.889,75.5575,14986.611570247936,tn1,85.0,80.0,[15422.7831181]
15.67,12.11,0.2611666666666666,4.703666666666668,189.7637,75.29633333333334,17298.455647734525,tn1,85.0,80.0,[17159.60074638]
16.82,12.09,0.2803333333333333,4.984000000000001,203.3538,75.016,16055.74316290131,tn1,85.0,80.0,[16075.10604593]
16.76,12.08,0.2793333333333334,5.263333333333335,202.4608,74.73666666666666,16053.22195704057,tn1,85.0,80.0,[15974.22171255]
14.58,12.12,0.243,5.506333333333335,176.7096,74.49366666666667,18393.49794238683,tn1,85.0,80.0,[18716.56088022]
17.42,12.06,0.2903333333333334,5.796666666666669,210.08520000000004,74.20333333333333,15334.78760045924,tn1,85.0,80.0,[15382.90769905]
17.4,12.06,0.29,6.086666666666669,209.844,73.91333333333333,15292.41379310345,tn1,85.0,80.0,[15411.66164847]
19.97,12.01,0.3328333333333333,6.419500000000002,239.8397,73.5805,13264.386579869804,tn1,85.0,80.0,[13240.36795843]
19.95,12.0,0.3324999999999999,6.752000000000002,239.4,73.248,13217.684210526317,tn1,85.0,80.0,[13193.27088347]
10.44,12.19,0.174,6.926000000000002,127.26359999999998,73.074,25197.93103448276,tn1,85.0,80.0,[25338.87076676]
10.44,12.19,0.174,7.100000000000002,127.26359999999998,72.89999999999999,25137.93103448276,tn1,85.0,80.0,[25322.8059036]
13.94,12.11,0.2323333333333333,7.332333333333335,168.81339999999997,72.66766666666666,18766.39885222381,tn1,85.0,80.0,[18771.80456487]
22.67,11.95,0.3778333333333333,7.710166666666669,270.9065,72.28983333333333,11479.638288486984,tn1,85.0,80.0,[11476.75460074]
22.65,11.94,0.3775,8.087666666666669,270.441,71.91233333333334,11429.774834437088,tn1,85.0,80.0,[11429.0976631]
18.46,12.01,0.3076666666666667,8.395333333333335,221.7046,71.60466666666666,13964.073672806066,tn1,85.0,80.0,[14083.11682383]
18.46,12.01,0.3076666666666667,8.703000000000001,221.7046,71.297,13904.073672806066,tn1,85.0,80.0,[13987.75136576]
9.5,12.19,0.1583333333333333,8.861333333333334,115.805,71.13866666666667,26957.81052631579,tn1,85.0,80.0,[26679.68365761]
19.24,12.02,0.3206666666666666,9.182,231.2648,70.818,13250.76923076923,tn1,85.0,80.0,[13143.54582115]
19.65,11.98,0.3274999999999999,9.5095,235.407,70.4905,12914.290076335878,tn1,85.0,80.0,[12945.05470179]
24.1,11.9,0.4016666666666666,9.911166666666668,286.79,70.08883333333333,10469.701244813275,tn1,85.0,80.0,[10678.62261971]
20.51,11.95,0.3418333333333334,10.253000000000002,245.0945,69.747,12242.28181374939,tn1,85.0,80.0,[12308.55452454]
20.51,11.95,0.3418333333333334,10.594833333333336,245.0945,69.40516666666666,12182.281813749389,tn1,85.0,80.0,[12280.77407415]
20.49,11.95,0.3414999999999999,10.936333333333335,244.8555,69.06366666666666,12134.172767203514,tn1,85.0,80.0,[12205.51826584]
19.06,11.96,0.3176666666666666,11.254,227.9576,68.746,12984.55403987408,tn1,85.0,80.0,[12899.06394541]
20.03,11.95,0.3338333333333333,11.587833333333334,239.3585,68.41216666666666,12295.746380429357,tn1,85.0,80.0,[12385.80756391]
20.02,11.94,0.3336666666666666,11.9215,239.0388,68.0785,12241.888111888113,tn1,85.0,80.0,[12302.9592059]
16.37,12.0,0.2728333333333333,12.194333333333333,196.44,67.80566666666667,14911.447770311544,tn1,85.0,80.0,[14812.57389615]
